Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
0,37181.88,3.52,35092.82,17.54,0
0.041666667,37386.38398,7.142673761,34632.61809,71.25205662,27.77777778
0.083333333,37541.97536,8.887348465,34146.83638,96.92383401,55.55555556
0.125,37663.82739,9.898738469,33662.67174,109.4769144,83.33333333
0.166666667,37764.59876,10.48000569,33191.22405,115.7690042,111.1111111
0.208333333,37851.9089,10.81155249,32737.08268,119.0885271,138.8888889
0.25,37929.88331,11.00957129,32301.86046,121.0022786,166.6666667
0.291666667,38000.59597,11.13586981,31885.70296,122.1957834,194.4444444
0.333333333,38065.34556,11.22683039,31488.29668,123.0591223,222.2222222
0.375,38124.88163,11.30114375,31109.02273,123.7755641,250
0.416666667,38179.64077,11.36682121,30747.11487,124.4142785,277.7777778
0.458333333,38229.94387,11.42749749,30401.78595,125.0065043,305.5555556
0.5,38276.3027,11.48639586,30071.54886,125.5832251,333.3333333
0.541666667,38318.58253,11.5426951,29756.79927,126.1366934,361.1111111
0.583333333,38357.25529,11.59824582,29456.02806,126.6838031,388.8888889
0.625,38392.30303,11.65297736,29169.2926,127.2239059,416.6666667
0.666666667,38424.05764,11.70731276,28895.44178,127.7608736,444.4444444
0.708333333,38452.61424,11.7614161,28634.15003,128.2962092,472.2222222
0.75,38478.16732,11.81521603,28384.7129,128.8294011,500
0.791666667,38500.89676,11.86877526,28146.49107,129.3611104,527.7777778
0.833333333,38521.29846,11.92202269,27917.684,129.8907266,555.5555556
0.875,38539.6735,11.97494388,27697.20303,130.4181651,583.3333333
0.916666667,38555.51459,12.02756317,27486.88242,130.9435681,611.1111111
0.958333333,38568.82175,12.07988055,27286.72217,131.4669357,638.8888889
1,38579.59497,12.13189603,27096.72229,131.9882679,666.6666667
1.041666667,38587.86201,12.18360765,26916.78272,132.5075634,694.4444444
1.083333333,38595.37521,12.23489163,26740.58671,133.0247368,722.2222222
1.125,38600.90897,12.28583453,26572.55225,133.5398478,750
1.166666667,38604.46328,12.33643636,26412.67933,134.0528964,777.7777778
1.208333333,38606.03816,12.38669712,26260.96796,134.5638827,805.5555556
1.25,38605.63359,12.43661681,26117.41813,135.0728065,833.3333333
1.291666667,38604.07523,12.48619697,25979.04557,135.5799086,861.1111111
1.333333333,38601.65247,12.53543813,25844.80434,136.0852734,888.8888889
1.375,38597.76421,12.58433919,25716.86701,136.5887256,916.6666667
1.416666667,38592.41046,12.63290014,25595.2336,137.0902652,944.4444444
1.458333333,38585.59122,12.68112097,25479.90409,137.5898922,972.2222222
1.5,38577.36245,12.72900598,25370.67368,138.0876327,1000
1.541666667,38568.95571,12.77664957,25263.03568,138.5840586,1027.777778
1.583333333,38559.4916,12.82398433,25160.20805,139.0787616,1055.555556
1.625,38548.97015,12.87101027,25062.19079,139.5717416,1083.333333
1.666666667,38537.39134,12.91772737,24968.9839,140.0629986,1111.111111
1.708333333,38524.75518,12.96413565,24880.58738,140.5525327,1138.888889
1.75,38511.31127,13.01028125,24796.03884,141.0405026,1166.666667
1.791666667,38497.24915,13.05618528,24714.63277,141.5270069,1194.444444
