Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
0,19000,50,0,0,50000
0.01,19010.56214,49.43596834,13.41756865,4.894390841,50000
0.02,19021.104,48.88072727,26.67964781,9.68444581,50000
0.03,19031.61892,48.33465429,39.78896308,14.37217214,50000
0.04,19042.08902,47.79871967,52.75351711,18.96340537,50000
0.05,19052.50086,47.27360044,65.57943701,23.46253098,50000
0.06,19062.84617,46.75971272,78.27052661,27.87227074,50000
0.07,19073.10617,46.25794474,90.83555394,32.19882873,50000
0.08,19083.28367,45.76799846,103.2741356,36.44175394,50000
0.09,19093.36289,45.29055622,115.5940348,40.60647138,50000
0.1,19103.33237,44.82621121,127.800341,44.69663859,50000
0.11,19113.18131,44.37545092,139.898265,48.7159173,50000
0.12,19122.89931,43.93873218,151.8928865,52.6678671,50000
0.13,19132.50243,43.5146133,163.7811662,56.54972065,50000
0.14,19141.96877,43.10437768,175.5717186,60.36779212,50000
0.15,19151.29041,42.70830545,187.2688678,64.12505224,50000
0.16,19160.45942,42.32667674,198.8769377,67.82447177,50000
0.17,19169.47995,41.95896818,210.3966637,71.46632131,50000
0.18,19178.36115,41.60432352,221.8272943,75.04975302,50000
0.19,19187.08704,41.26355901,233.175548,78.57953913,50000
0.2,19195.65319,40.93672163,244.4447076,82.05786693,50000
0.21,19204.05519,40.62385837,255.6380557,85.48692366,50000
0.22,19212.30983,40.32375026,266.752654,88.86439849,50000
0.23,19220.40973,40.036621,277.7926537,92.19310656,50000
0.24,19228.3502,39.762533,288.7614132,95.47528998,50000
0.25,19236.12963,39.50136622,299.6613945,98.71254251,50000
0.26,19243.74959,39.25284266,310.4940802,101.9057833,50000
0.27,19251.22072,39.01623935,321.2581946,105.0540308,50000
0.28,19258.53606,38.79169888,331.9578276,108.1600006,50000
0.29,19265.69571,38.57901582,342.5949119,111.2249219,50000
0.3,19272.69979,38.37798475,353.1713801,114.2500237,50000
0.31,19279.56157,38.18801839,363.6841685,117.2332726,50000
0.32,19286.28039,38.00893362,374.1355013,120.1760883,50000
0.33,19292.85102,37.84068034,384.5293438,123.081027,50000
0.34,19299.27421,37.68303425,394.8673814,125.9491565,50000
0.35,19305.55073,37.53577105,405.1512999,128.7815446,50000
0.36,19311.68133,37.39866645,415.3827849,131.5792593,50000
0.37,19317.66679,37.27149614,425.563522,134.3433683,50000
0.38,19323.50785,37.15403582,435.6951968,137.0749395,50000
0.39,19329.20529,37.0460612,445.7794951,139.7750407,50000
0.4,19334.77055,36.94724304,455.812429,142.4410845,50000
0.41,19340.21051,36.85729693,465.7924332,145.072044,50000
0.42,19345.51692,36.77608704,475.7259771,147.6720694,50000
0.43,19350.69128,36.70338187,485.6143578,150.2419781,50000
0.44,19355.73508,36.63894995,495.4588722,152.7825874,50000
0.45,19360.64981,36.58255979,505.260817,155.2947147,50000
0.46,19365.43698,36.53397988,515.0214893,157.7791774,50000
0.47,19370.09807,36.49297875,524.742186,160.2367928,50000
0.48,19374.63458,36.4593249,534.4242038,162.6683784,50000
0.49,19379.05167,36.43293188,544.0653998,165.0725639,50000
0.5,19383.35776,36.41384126,553.6605934,167.4460477,50000
0.51,19387.54791,36.40156812,563.2170935,169.7934702,50000
0.52,19391.62401,36.39589665,572.7358245,172.1154119,50000
0.53,19395.58797,36.39661108,582.2177107,174.4124532,50000
0.54,19399.44168,36.40349563,591.6636763,176.6851747,50000
0.55,19403.18701,36.41633452,601.0746458,178.9341568,50000
0.56,19406.82587,36.43491196,610.4515435,181.1599798,50000
0.57,19410.36015,36.45901218,619.7952937,183.3632243,50000
0.58,19413.79156,36.48856185,629.1057938,185.5438318,50000
0.59,19417.12089,36.52423592,638.3775485,187.6983877,50000
0.6,19420.35088,36.56514015,647.6163721,189.8305154,50000
0.61,19423.48338,36.61109315,656.8229408,191.9406411,50000
0.62,19426.52022,36.66191354,665.9979312,194.029191,50000
0.63,19429.46327,36.71741993,675.1420196,196.0965913,50000
0.64,19432.31437,36.77743094,684.2558824,198.1432681,50000
0.65,19435.07537,36.84176517,693.3401962,200.1696477,50000
0.66,19437.74812,36.91024125,702.3956372,202.1761561,50000
0.67,19440.33446,36.98267779,711.422882,204.1632196,50000
0.68,19442.83024,37.06000617,720.4169734,206.127818,50000
0.69,19445.24127,37.14131049,729.3823065,208.0726524,50000
0.7,19447.56934,37.22642043,738.3195016,209.9981146,50000
0.71,19449.81611,37.31518952,747.2290584,211.9045227,50000
0.72,19451.98324,37.40747132,756.1114764,213.7921947,50000
0.73,19454.07239,37.50311938,764.9672551,215.6614485,50000
0.74,19456.08523,37.60198724,773.7968942,217.5126021,50000
0.75,19458.0234,37.70392845,782.6008932,219.3459736,50000
0.76,19459.88858,37.80879656,791.3797517,221.1618808,50000
0.77,19461.6686,37.9180768,800.1288677,222.957611,50000
0.78,19463.37256,38.03074364,808.8514894,224.7351151,50000
0.79,19465.00491,38.14632207,817.5491435,226.4953212,50000
0.8,19466.56709,38.26469113,826.2222499,228.2385001,50000
0.81,19468.06055,38.38572988,834.8712283,229.9649223,50000
0.82,19469.48673,38.50931736,843.4964986,231.6748585,50000
0.83,19470.84708,38.63533262,852.0984807,233.3685793,50000
0.84,19472.14304,38.76365471,860.6775945,235.0463553,50000
0.85,19473.37605,38.89416267,869.2342596,236.7084572,50000
0.86,19474.54756,39.02673555,877.7688961,238.3551555,50000
0.87,19475.65901,39.16125241,886.2819237,239.9867208,50000
0.88,19476.71186,39.29759228,894.7737623,241.6034239,50000
0.89,19477.70753,39.43563421,903.2448318,243.2055353,50000
0.9,19478.64748,39.57525725,911.6955519,244.7933257,50000
0.91,19479.53314,39.71634046,920.1263425,246.3670656,50000
0.92,19480.33994,39.86153864,928.5302111,247.9226244,50000
0.93,19481.08977,40.00854902,936.9134039,249.4637321,50000
0.94,19481.78413,40.15724433,945.2763575,250.9906695,50000
0.95,19482.42416,40.30753859,953.6193985,252.5036518,50000
0.96,19483.01095,40.45934581,961.9428532,254.002894,50000
0.97,19483.54564,40.61258,970.2470482,255.4886115,50000
0.98,19484.02932,40.76715517,978.53231,256.9610193,50000
0.99,19484.46313,40.92298533,986.7989649,258.4203327,50000
1,19484.84818,41.07998449,995.0473396,259.8667669,50000
1.01,19485.18558,41.23806668,1003.27776,261.3005369,50000
1.02,19485.47644,41.39714589,1011.490554,262.7218581,50000
1.03,19485.72189,41.55713614,1019.686047,264.1309456,50000
1.04,19485.92305,41.71795144,1027.864565,265.5280145,50000
1.05,19486.08102,41.8795058,1036.026435,266.9132801,50000
1.06,19486.1932,42.04208012,1044.171018,268.286376,50000
1.07,19486.24231,42.20740372,1052.293863,269.6446401,50000
1.08,19486.24662,42.37369757,1060.399751,270.9909711,50000
1.09,19486.20695,42.54090626,1068.48893,272.3255356,50000
1.1,19486.12409,42.70897443,1076.561645,273.6485005,50000
1.11,19485.99886,42.87784667,1084.618141,274.9600322,50000
1.12,19485.83206,43.04746761,1092.658665,276.2602976,50000
1.13,19485.62449,43.21778185,1100.683463,277.5494632,50000
1.14,19485.37696,43.38873402,1108.692781,278.8276958,50000
1.15,19485.09028,43.56026873,1116.686864,280.095162,50000
1.16,19484.76526,43.73233058,1124.665958,281.3520286,50000
1.17,19484.40269,43.9048642,1132.63031,282.5984621,50000
1.18,19484.00339,44.0778142,1140.580166,283.8346293,50000
1.19,19483.56816,44.25112519,1148.51577,285.0606968,50000
1.2,19483.0978,44.42474178,1156.43737,286.2768314,50000
1.21,19482.58795,44.59915731,1164.343342,287.4820505,50000
1.22,19482.03237,44.77506148,1172.231394,288.6749603,50000
1.23,19481.44083,44.95145112,1180.104999,289.8577126,50000
1.24,19480.81391,45.12829225,1187.964332,291.0304291,50000
1.25,19480.15223,45.30555089,1195.809566,292.1932317,50000
1.26,19479.45638,45.48319307,1203.640873,293.3462422,50000
1.27,19478.72698,45.66118482,1211.458426,294.4895824,50000
1.28,19477.96463,45.83949215,1219.262398,295.6233742,50000
1.29,19477.16993,46.01808109,1227.052962,296.7477395,50000
1.3,19476.34348,46.19691767,1234.830292,297.8628,50000
1.31,19475.48588,46.37596791,1242.59456,298.9686775,50000
1.32,19474.59776,46.55519783,1250.345939,300.0654941,50000
1.33,19473.67969,46.73457347,1258.084603,301.1533713,50000
1.34,19472.7323,46.91406084,1265.810724,302.2324312,50000
1.35,19471.75617,47.09362597,1273.524475,303.3027955,50000
1.36,19470.74652,47.2737241,1281.224231,304.3634671,50000
1.37,19469.70266,47.45443649,1288.909743,305.4143043,50000
1.38,19468.62967,47.63532583,1296.582665,306.4563515,50000
1.39,19467.528,47.81637045,1304.243125,307.4897023,50000
1.4,19466.39813,47.99754868,1311.891251,308.5144504,50000
1.41,19465.24053,48.17883887,1319.52717,309.5306895,50000
1.42,19464.05565,48.36021933,1327.151011,310.5385132,50000
1.43,19462.84398,48.54166842,1334.762901,311.5380153,50000
1.44,19461.60597,48.72316446,1342.362968,312.5292895,50000
1.45,19460.3421,48.90468578,1349.951339,313.5124294,50000
1.46,19459.05283,49.08621072,1357.528142,314.4875287,50000
1.47,19457.73862,49.26771762,1365.093506,315.454681,50000
1.48,19456.39996,49.4491848,1372.647557,316.4139802,50000
1.49,19455.0373,49.63059061,1380.190425,317.3655198,50000
1.5,19453.65112,49.81191337,1387.722235,318.3093935,50000
1.51,19452.23133,49.99386782,1395.240745,319.2441782,50000
1.52,19450.78264,50.17613754,1402.747031,320.1705747,50000
1.53,19449.3098,50.35840007,1410.24219,321.0892963,50000
1.54,19447.81321,50.54063938,1417.726332,322.000425,50000
1.55,19446.29325,50.72283945,1425.199566,322.9040429,50000
1.56,19444.75031,50.90498428,1432.662002,323.800232,50000
1.57,19443.18479,51.08705783,1440.113749,324.6890743,50000
1.58,19441.59705,51.26904409,1447.554917,325.570652,50000
1.59,19439.9875,51.45092705,1454.985615,326.445047,50000
1.6,19438.35651,51.63269069,1462.405953,327.3123415,50000
1.61,19436.70448,51.81431898,1469.816041,328.1726173,50000
1.62,19435.03179,51.99579591,1477.215989,329.0259567,50000
