Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
0,12000,320,0,0,50000
0.01,12010.21495,316.6138525,13.41756865,4.894390841,50000
0.02,12020.45204,313.2747543,26.67964781,9.68444581,50000
0.03,12030.70439,309.9845811,39.78896308,14.37217214,50000
0.04,12040.95333,306.7481402,52.75351711,18.96340537,50000
0.05,12051.18469,303.5687752,65.57943701,23.46253098,50000
0.06,12061.38969,300.448539,78.27052661,27.87227074,50000
0.07,12071.54832,297.391795,90.83555394,32.19882873,50000
0.08,12081.66293,294.3969775,103.2741356,36.44175394,50000
0.09,12091.71644,291.467396,115.5940348,40.60647138,50000
0.1,12101.69683,288.605994,127.800341,44.69663859,50000
0.11,12111.59243,285.8151494,139.898265,48.7159173,50000
0.12,12121.39205,283.0970819,151.8928865,52.6678671,50000
0.13,12131.11024,280.4442242,163.7811662,56.54972065,50000
0.14,12140.72456,277.8630571,175.5717186,60.36779212,50000
0.15,12150.22618,275.3548896,187.2688678,64.12505224,50000
0.16,12159.60629,272.9210307,198.8769377,67.82447177,50000
0.17,12168.86801,270.558645,210.3966637,71.46632131,50000
0.18,12178.01943,268.2631807,221.8272943,75.04975302,50000
0.19,12187.04376,266.0387116,233.175548,78.57953913,50000
0.2,12195.93564,263.8853442,244.4447076,82.05786693,50000
0.21,12204.68972,261.8031849,255.6380557,85.48692366,50000
0.22,12213.32209,259.785881,266.752654,88.86439849,50000
0.23,12221.82443,257.8344406,277.7926537,92.19310656,50000
0.24,12230.19109,255.9490489,288.7614132,95.47528998,50000
0.25,12238.41958,254.12896,299.6613945,98.71254251,50000
0.26,12246.51071,252.3726609,310.4940802,101.9057833,50000
0.27,12254.47476,250.6764771,321.2581946,105.0540308,50000
0.28,12262.30363,249.0409386,331.9578276,108.1600006,50000
0.29,12269.99661,247.4648849,342.5949119,111.2249219,50000
0.3,12277.55299,245.9471555,353.1713801,114.2500237,50000
0.31,12284.9867,244.4852985,363.6841685,117.2332726,50000
0.32,12292.29617,243.0782288,374.1355013,120.1760883,50000
0.33,12299.47474,241.7253113,384.5293438,123.081027,50000
0.34,12306.52242,240.4253215,394.8673814,125.9491565,50000
0.35,12313.43922,239.1770351,405.1512999,128.7815446,50000
0.36,12320.22516,237.9792278,415.3827849,131.5792593,50000
0.37,12326.88025,236.8306753,425.563522,134.3433683,50000
0.38,12333.4045,235.7301531,435.6951968,137.0749395,50000
0.39,12339.79793,234.676437,445.7794951,139.7750407,50000
0.4,12346.07314,233.6687636,455.812429,142.4410845,50000
0.41,12352.23735,232.7061727,465.7924332,145.072044,50000
0.42,12358.27997,231.7870513,475.7259771,147.6720694,50000
0.43,12364.20188,230.9102066,485.6143578,150.2419781,50000
0.44,12370.00394,230.0744458,495.4588722,152.7825874,50000
0.45,12375.68703,229.2785763,505.260817,155.2947147,50000
0.46,12381.25203,228.5214052,515.0214893,157.7791774,50000
0.47,12386.69981,227.8017398,524.742186,160.2367928,50000
0.48,12392.03125,227.1183873,534.4242038,162.6683784,50000
0.49,12397.25173,226.4716335,544.065561,165.0726687,50000
0.5,12402.3706,225.8630697,553.6613804,167.4465594,50000
0.51,12407.38086,225.2889192,563.2186893,169.7945079,50000
0.52,12412.28389,224.7481492,572.7384296,172.1171059,50000
0.53,12417.08103,224.2397272,582.2215429,174.4149453,50000
0.54,12421.77367,223.7626206,591.6689711,176.6886179,50000
0.55,12426.36316,223.3157968,601.0816559,178.9387154,50000
0.56,12430.85086,222.898223,610.4605391,181.1658296,50000
0.57,12435.23813,222.5088668,619.8065625,183.3705524,50000
0.58,12439.52705,222.1475174,629.1194867,185.5527356,50000
0.59,12443.72338,221.8182808,638.392868,187.7083446,50000
0.6,12447.82512,221.5162103,647.6332736,189.841495,50000
0.61,12451.83381,221.2404717,656.8413601,191.9526001,50000
0.62,12455.75098,220.990231,666.017784,194.0420729,50000
0.63,12459.57817,220.7646538,675.1632021,196.1103266,50000
0.64,12463.31691,220.5629059,684.2782708,198.1577744,50000
0.65,12466.96874,220.3841533,693.3636467,200.1848295,50000
0.66,12470.53518,220.2275617,702.4199864,202.1919049,50000
0.67,12474.01776,220.0922969,711.4479466,204.1794138,50000
0.68,12477.41386,219.9838478,720.4428843,206.144545,50000
0.69,12480.72775,219.8972066,729.4089542,208.08984,50000
0.7,12483.96093,219.8316018,738.3467603,210.0156799,50000
0.71,12487.11479,219.7863977,747.2567927,211.9223766,50000
