Time (h),miR-200,ZEB mRNA ,miR-34,SNAIL mRNA,Signal driving SNAIL
0,5000,600,0,0,50000
0.01,5005.490695,595.4603429,13.41756865,4.894390841,50000
0.02,5011.105056,590.9676916,26.67964781,9.68444581,50000
0.03,5016.83923,586.5244709,39.78896308,14.37217214,50000
0.04,5022.682179,582.136984,52.75351711,18.96340537,50000
0.05,5028.624764,577.8098192,65.57943701,23.46253098,50000
0.06,5034.661297,573.5458041,78.27052661,27.87227074,50000
0.07,5040.77805,569.3511755,90.83555394,32.19882873,50000
0.08,5046.974159,565.2244838,103.2741356,36.44175394,50000
0.09,5053.236922,561.1707702,115.5940348,40.60647138,50000
0.1,5059.558836,557.1940023,127.800341,44.69663859,50000
0.11,5065.931541,553.2976978,139.898265,48.7159173,50000
0.12,5072.346806,549.4851968,151.8928865,52.6678671,50000
0.13,5078.804151,545.7488373,163.7811662,56.54972065,50000
0.14,5085.291968,542.0967493,175.5717186,60.36779212,50000
0.15,5091.802743,538.5312491,187.2688678,64.12505224,50000
0.16,5098.328966,535.0546527,198.8769377,67.82447177,50000
0.17,5104.867785,531.6643725,210.3966637,71.46632131,50000
0.18,5111.418278,528.3557897,221.8272943,75.04975302,50000
0.19,5117.969824,525.1344922,233.175548,78.57953913,50000
0.2,5124.516264,522.0013733,244.4447076,82.05786693,50000
0.21,5131.051438,518.9573261,255.6380557,85.48692366,50000
0.22,5137.579941,515.9949181,266.752654,88.86439849,50000
0.23,5144.094111,513.1162048,277.7926537,92.19310656,50000
0.24,5150.587659,510.322181,288.7614132,95.47528998,50000
0.25,5157.055843,507.6126412,299.6613945,98.71254251,50000
0.26,5163.496167,504.9861953,310.4940802,101.9057833,50000
0.27,5169.912461,502.4381142,321.2581946,105.0540308,50000
0.28,5176.296249,499.9701632,331.9578276,108.1600006,50000
0.29,5182.644006,497.5814966,342.5949119,111.2249219,50000
0.3,5188.952203,495.2712683,353.1713801,114.2500237,50000
0.31,5195.232051,493.0344848,363.6841685,117.2332726,50000
0.32,5201.479161,490.8705423,374.1355013,120.1760883,50000
0.33,5207.684012,488.7802824,384.5293438,123.081027,50000
0.34,5213.843804,486.7626541,394.8673814,125.9491565,50000
0.35,5219.955739,484.8166066,405.1512999,128.7815446,50000
0.36,5226.017018,482.941089,415.3827849,131.5792593,50000
0.37,5232.024842,481.1350504,425.563522,134.3433683,50000
0.38,5237.976412,479.3974399,435.6951968,137.0749395,50000
0.39,5243.868929,477.7272068,445.7794951,139.7750407,50000
0.4,5249.71598,476.1205818,455.812429,142.4410845,50000
0.41,5255.524155,474.5749562,465.7924332,145.072044,50000
0.42,5261.276838,473.0915715,475.7259771,147.6720694,50000
0.43,5266.972354,471.6691904,485.6143578,150.2419781,50000
0.44,5272.609026,470.3065759,495.4588722,152.7825874,50000
0.45,5278.185179,469.0024908,505.260817,155.2947147,50000
0.46,5283.699136,467.755698,515.0214893,157.7791774,50000
0.47,5289.14922,466.5649604,524.742186,160.2367928,50000
0.48,5294.533757,465.4290407,534.4242038,162.6683784,50000
0.49,5299.860095,464.3465648,544.065561,165.0726687,50000
0.5,5305.143557,463.3160372,553.6613804,167.4465594,50000
0.51,5310.366689,462.3364605,563.2186893,169.7945079,50000
0.52,5315.528794,461.4065827,572.7384296,172.1171059,50000
0.53,5320.629173,460.5251519,582.2215429,174.4149453,50000
0.54,5325.667128,459.690916,591.6689711,176.6886179,50000
0.55,5330.641959,458.9026231,601.0816559,178.9387154,50000
0.56,5335.552969,458.1590211,610.4605391,181.1658296,50000
0.57,5340.399459,457.4588581,619.8065625,183.3705524,50000
0.58,5345.183508,456.8012795,629.1194867,185.5527356,50000
0.59,5349.921782,456.1875183,638.392868,187.7083446,50000
0.6,5354.600356,455.6144297,647.6332736,189.841495,50000
0.61,5359.219201,455.0808577,656.8413601,191.9526001,50000
0.62,5363.778291,454.5856463,666.017784,194.0420729,50000
0.63,5368.277597,454.1276394,675.1632021,196.1103266,50000
0.64,5372.71709,453.705681,684.2782708,198.1577744,50000
0.65,5377.096744,453.318615,693.3636467,200.1848295,50000
0.66,5381.41653,452.9652855,702.4199864,202.1919049,50000
0.67,5385.67642,452.6445364,711.4479466,204.1794138,50000
0.68,5389.886316,452.3609623,720.4428843,206.144545,50000
0.69,5394.039636,452.1096113,729.4089542,208.08984,50000
0.7,5398.13645,451.8893846,738.3467603,210.0156799,50000
0.71,5402.177042,451.6993065,747.2567927,211.9223766,50000
0.72,5406.161696,451.5384017,756.1395416,213.8102421,50000
0.73,5410.090695,451.4056946,764.9954974,215.6795882,50000
0.74,5413.964324,451.3002097,773.8251501,217.530727,50000
0.75,5417.782865,451.2209715,782.6289901,219.3639702,50000
0.76,5421.546604,451.1670046,791.4075075,221.1796299,50000
0.77,5425.261058,451.1502356,800.1553152,222.9745782,50000
0.78,5428.923507,451.162285,808.8762761,224.751101,50000
0.79,5432.533139,451.1994766,817.5721109,226.5102303,50000
0.8,5436.090297,451.2609782,826.2432443,228.2522397,50000
0.81,5439.595321,451.3459581,834.8901011,229.9774028,50000
0.82,5443.048554,451.4535842,843.5131063,231.6859933,50000
0.83,5446.450339,451.5830247,852.1126845,233.3782848,50000
0.84,5449.801017,451.7334476,860.6892607,235.0545511,50000
0.85,5453.100929,451.904021,869.2432596,236.7150657,50000
0.86,5456.350419,452.0939129,877.7751061,238.3601023,50000
